ArraySize,Cutoff,Execution_Time(ms)
100000,5000,8
100000,10000,5
100000,20000,3
100000,40000,3
100000,80000,5
100000,160000,5
100000,320000,5
100000,640000,5
100000,1280000,5
100000,2560000,5
500000,5000,16
500000,10000,14
500000,20000,13
500000,40000,13
500000,80000,13
500000,160000,13
500000,320000,19
500000,640000,30
500000,1280000,31
500000,2560000,31
1000000,5000,29
1000000,10000,29
1000000,20000,28
1000000,40000,28
1000000,80000,26
1000000,160000,29
1000000,320000,28
1000000,640000,39
1000000,1280000,64
1000000,2560000,64
2000000,5000,64
2000000,10000,61
2000000,20000,58
2000000,40000,56
2000000,80000,55
2000000,160000,56
2000000,320000,61
2000000,640000,58
2000000,1280000,82
2000000,2560000,134
4000000,5000,141
4000000,10000,129
4000000,20000,134
4000000,40000,124
4000000,80000,144
4000000,160000,130
4000000,320000,116
4000000,640000,129
4000000,1280000,130
4000000,2560000,176
8000000,5000,321
8000000,10000,286
8000000,20000,266
8000000,40000,269
8000000,80000,254
8000000,160000,242
8000000,320000,241
8000000,640000,264
8000000,1280000,283
8000000,2560000,267
16000000,5000,712
16000000,10000,566
16000000,20000,546
16000000,40000,566
16000000,80000,537
16000000,160000,516
16000000,320000,491
16000000,640000,572
16000000,1280000,524
16000000,2560000,537
32000000,5000,1805
32000000,10000,1637
32000000,20000,1654
32000000,40000,1519
32000000,80000,1350
32000000,160000,1055
32000000,320000,1039
32000000,640000,1069
32000000,1280000,1011
32000000,2560000,1036
64000000,5000,3409
64000000,10000,2926
64000000,20000,2813
64000000,40000,2592
64000000,80000,2568
64000000,160000,2226
64000000,320000,2138
64000000,640000,2060
64000000,1280000,2019
64000000,2560000,2000
